NO.1,NO.2,diff-correlation
50,353,8.98167,
50,354,58.7201,
50,359,10.8098,
50,371,5.40627,
50,373,5.48341,
50,377,13.2307,
50,379,11.2076,
50,381,26.9528,
50,382,5.02186,
51,54,6.49557,
51,70,5.43427,
51,99,9.34608,
51,100,12.4835,
51,111,52.8148,
51,113,5.97174,
51,130,11.9636,
51,145,12.1322,
51,150,8.786,
51,181,23.9163,
51,183,13.0389,
51,194,34.0641,
51,212,11.623,
51,215,6.25804,
51,226,6.64411,
51,228,292.764,
51,231,10.3737,
51,242,58.9364,
51,246,7.80748,
51,252,56.4556,
51,284,9.48763,
51,285,22.7541,
51,323,11.1312,
51,329,16.8858,
51,330,6.11559,
51,331,5.13861,
51,357,6.19082,
51,375,6.8648,
51,388,24.9792,
52,62,37.0939,
52,65,15.3514,
52,76,5.53527,
52,84,25.9301,
52,94,105.476,
52,95,5.51736,
52,110,362.062,
52,114,8.38265,
52,123,5.13884,
52,126,13.1885,
52,150,5.30464,
52,200,13.0998,
52,215,29.8491,
52,217,9.02726,
52,225,33.824,
52,235,7.34254,
52,242,21.6726,
52,250,7.04581,
52,258,5.21596,
52,260,134.099,
52,275,5.69234,
52,298,9.9311,
52,303,84.3813,
52,317,6.39956,
52,326,16.5981,
52,331,7.71747,
52,335,7.60601,
52,350,6.77692,
52,366,5.44611,
52,367,5.07,
53,60,5.4829,
53,101,5.46837,
53,112,13.5851,
53,124,7.77145,
53,151,16.5545,
53,177,18.1795,
53,188,44.0835,
53,206,17.5962,
53,216,12.1393,
53,248,79.4977,
53,269,7.57992,
53,284,18.8285,
53,296,42.4082,
53,304,16.0045,
53,333,5.02252,
53,336,6.77333,
53,354,5.12537,
53,365,5.86571,
54,62,8.44465,
54,67,8.32014,
54,72,6.35811,
54,73,13.6178,
54,138,7.87098,
54,148,36.0158,
54,153,6.5487,
54,159,17.9877,
54,160,23.8007,
54,185,5.52776,
54,255,63.4893,
54,280,6.83144,
54,284,11.6498,
54,307,57.9675,
54,312,5.61201,
54,386,18.4382,
54,388,19.2171,
55,56,17.2561,
55,73,78.1259,
55,84,7.75367,
55,86,12.3096,
55,92,5.04428,
55,99,28.3147,
55,119,7.52952,
55,120,1557.19,
55,141,5.11627,
55,149,6.07387,
55,157,8.63091,
55,188,9.88914,
55,194,9.00775,
55,215,7.53579,
55,216,7.06093,
55,232,6.68119,
55,259,5.80907,
55,261,17.0156,
55,296,6.52263,
55,375,5.08967,
55,386,40.4556,
56,60,10.4169,
56,84,6.56362,
56,86,18.8259,
56,97,29.4495,
56,119,10.4473,
56,120,21.9715,
56,141,32.6533,
56,148,8.95344,
56,153,53.723,
56,184,20.7943,
56,188,31.9517,
56,196,147.82,
56,218,92.1902,
56,233,5.81568,
56,242,6.78606,
56,252,5.53985,
56,270,6.60151,
56,294,13.3666,
